variant,trial,failure_class,committed,safe_outcome,residual_effects,unsafe_executions,latency_ms
sequential,0,runtime_exception,False,False,2,0,0.211041
sequential,1,unsafe_path,True,False,0,1,0.104291
sequential,2,runtime_exception,False,False,2,0,0.185459
sequential,3,unsafe_path,True,False,0,1,0.102792
sequential,4,runtime_exception,False,False,2,0,0.181
sequential,5,unsafe_path,True,False,0,1,0.0985
sequential,6,runtime_exception,False,False,2,0,0.184542
sequential,7,unsafe_path,True,False,0,1,0.097958
sequential,8,runtime_exception,False,False,2,0,0.189208
sequential,9,unsafe_path,True,False,0,1,0.095875
sequential,10,runtime_exception,False,False,2,0,0.176041
sequential,11,unsafe_path,True,False,0,1,0.094
sequential,12,runtime_exception,False,False,2,0,0.180708
sequential,13,unsafe_path,True,False,0,1,0.096167
sequential,14,runtime_exception,False,False,2,0,0.268959
sequential,15,unsafe_path,True,False,0,1,0.103041
sequential,16,runtime_exception,False,False,2,0,0.1875
sequential,17,unsafe_path,True,False,0,1,0.098792
sequential,18,runtime_exception,False,False,2,0,0.182792
sequential,19,unsafe_path,True,False,0,1,0.096458
sequential,20,runtime_exception,False,False,2,0,0.172375
sequential,21,unsafe_path,True,False,0,1,0.097375
sequential,22,runtime_exception,False,False,2,0,0.181541
sequential,23,unsafe_path,True,False,0,1,0.105875
sequential,24,runtime_exception,False,False,2,0,0.197542
sequential,25,unsafe_path,True,False,0,1,0.094667
sequential,26,runtime_exception,False,False,2,0,0.174125
sequential,27,unsafe_path,True,False,0,1,0.097542
sequential,28,runtime_exception,False,False,2,0,0.172167
sequential,29,unsafe_path,True,False,0,1,0.094833
sequential,30,runtime_exception,False,False,2,0,0.179542
sequential,31,unsafe_path,True,False,0,1,0.0985
sequential,32,runtime_exception,False,False,2,0,0.180417
sequential,33,unsafe_path,True,False,0,1,0.095084
sequential,34,runtime_exception,False,False,2,0,0.169958
sequential,35,unsafe_path,True,False,0,1,0.096084
sequential,36,runtime_exception,False,False,2,0,0.171125
sequential,37,unsafe_path,True,False,0,1,0.105375
sequential,38,runtime_exception,False,False,2,0,0.240417
sequential,39,unsafe_path,True,False,0,1,0.130125
sequential,40,runtime_exception,False,False,2,0,0.204625
sequential,41,unsafe_path,True,False,0,1,0.097333
sequential,42,runtime_exception,False,False,2,0,0.182875
sequential,43,unsafe_path,True,False,0,1,0.099208
sequential,44,runtime_exception,False,False,2,0,0.197125
sequential,45,unsafe_path,True,False,0,1,0.108125
sequential,46,runtime_exception,False,False,2,0,0.192375
sequential,47,unsafe_path,True,False,0,1,0.096709
sequential,48,runtime_exception,False,False,2,0,0.174667
sequential,49,unsafe_path,True,False,0,1,0.093541
sequential,50,runtime_exception,False,False,2,0,0.173333
