trial,workflow_length,failure_position,sagamind_restored,naive_restored,sagamind_residual_mutations,naive_residual_mutations
0,2,1,True,False,0,1
1,10,1,True,False,0,1
2,8,3,True,False,0,3
3,7,6,True,False,0,6
4,9,6,True,False,0,6
5,7,4,True,False,0,4
6,10,4,True,False,0,4
7,2,1,True,False,0,1
8,5,3,True,False,0,3
9,2,1,True,False,0,1
10,11,6,True,False,0,6
11,9,6,True,False,0,6
12,3,2,True,False,0,2
13,9,4,True,False,0,4
14,10,8,True,False,0,8
15,9,8,True,False,0,8
16,8,4,True,False,0,4
17,6,1,True,False,0,1
18,10,3,True,False,0,3
19,10,7,True,False,0,7
20,12,10,True,False,0,10
21,8,1,True,False,0,1
22,10,5,True,False,0,5
23,4,2,True,False,0,2
24,10,7,True,False,0,7
25,10,4,True,False,0,4
26,3,1,True,False,0,1
27,9,4,True,False,0,4
28,11,5,True,False,0,5
29,8,1,True,False,0,1
30,4,2,True,False,0,2
31,4,1,True,False,0,1
32,2,1,True,False,0,1
33,8,2,True,False,0,2
34,8,5,True,False,0,5
35,12,10,True,False,0,10
36,7,5,True,False,0,5
37,9,4,True,False,0,4
38,9,4,True,False,0,4
39,7,1,True,False,0,1
40,12,9,True,False,0,9
41,6,4,True,False,0,4
42,11,1,True,False,0,1
43,3,1,True,False,0,1
44,9,6,True,False,0,6
45,8,3,True,False,0,3
46,10,1,True,False,0,1
47,4,2,True,False,0,2
48,2,1,True,False,0,1
49,12,5,True,False,0,5
50,11,4,True,False,0,4
51,12,2,True,False,0,2
52,10,3,True,False,0,3
53,2,1,True,False,0,1
54,6,3,True,False,0,3
55,3,1,True,False,0,1
56,10,2,True,False,0,2
57,5,3,True,False,0,3
58,10,4,True,False,0,4
59,3,1,True,False,0,1
60,10,1,True,False,0,1
61,10,5,True,False,0,5
62,2,1,True,False,0,1
63,9,7,True,False,0,7
64,3,2,True,False,0,2
65,8,4,True,False,0,4
66,8,3,True,False,0,3
67,12,8,True,False,0,8
68,4,3,True,False,0,3
69,9,1,True,False,0,1
70,8,3,True,False,0,3
71,5,3,True,False,0,3
72,7,1,True,False,0,1
73,12,8,True,False,0,8
74,4,1,True,False,0,1
75,4,2,True,False,0,2
76,11,10,True,False,0,10
77,3,2,True,False,0,2
78,8,5,True,False,0,5
79,6,3,True,False,0,3
80,8,3,True,False,0,3
81,4,1,True,False,0,1
82,2,1,True,False,0,1
83,4,3,True,False,0,3
84,11,10,True,False,0,10
85,5,1,True,False,0,1
86,11,6,True,False,0,6
87,8,4,True,False,0,4
